image_name,true_count,predicted_count,error,abs_error,n_valid,n_partial,n_oversized,processing_time,best_filter,scored_best_filter,threshold_method,cluster_method,kmeans_score,dbscan_score,mask_sum
1.jpg,1,14,13,13,3,2,1,19.502,gaussian,bilateral,otsu,kmeans,202.811,45.982,128254290
2.jpg,2,15,13,13,3,2,1,16.845,gaussian,bilateral,otsu,kmeans,217.571,38.969,144178275
3.jpg,3,25,22,22,3,1,2,14.045,gaussian,bilateral,otsu,kmeans,231.926,31.342,184524120
4.jpg,4,4,0,0,4,0,0,13.642,gaussian,bilateral,adaptive,dbscan,6.801,28.125,37321800
5.jpg,5,22,17,17,8,2,1,13.313,gaussian,bilateral,adaptive,kmeans,209.04,27.584,175033785
6.jpg,6,6,0,0,6,0,0,13.774,gaussian,bilateral,adaptive,dbscan,10.935,26.104,51457215
7.jpg,7,7,0,0,7,0,0,14.633,gaussian,bilateral,adaptive,dbscan,12.014,26.286,55492080
8.jpg,8,8,0,0,8,0,0,14.686,gaussian,bilateral,adaptive,dbscan,13.693,26.252,61171185
9.jpg,9,8,-1,1,8,0,0,15.597,gaussian,bilateral,adaptive,dbscan,15.299,24.014,66759000
10.jpg,10,9,-1,1,9,0,0,15.119,gaussian,bilateral,adaptive,dbscan,16.994,25.304,72898125
11.jpg,11,11,0,0,11,0,0,15.929,gaussian,bilateral,adaptive,dbscan,18.928,26.004,79287660
12.jpg,12,12,0,0,12,0,0,17.019,gaussian,bilateral,adaptive,dbscan,20.033,26.785,81434760
13.jpg,13,12,-1,1,12,0,0,17.299,gaussian,bilateral,adaptive,dbscan,21.264,27.421,86953725
14.jpg,14,13,-1,1,13,0,0,18.612,gaussian,bilateral,adaptive,dbscan,23.573,28.938,92379105
15.jpg,15,14,-1,1,14,0,0,18.373,gaussian,bilateral,adaptive,dbscan,25.227,30.4,96221700
16.jpg,16,15,-1,1,15,0,0,18.683,gaussian,bilateral,adaptive,dbscan,26.803,31.448,100931805
17.jpg,17,16,-1,1,16,0,0,18.987,gaussian,bilateral,adaptive,dbscan,27.79,32.603,106457400
18.jpg,18,16,-2,2,16,0,0,20.13,gaussian,bilateral,adaptive,dbscan,28.852,32.976,105702090
19.jpg,19,16,-3,3,16,0,0,19.39,gaussian,bilateral,adaptive,dbscan,30.06,33.524,108636375
20.jpg,20,17,-3,3,17,0,0,19.98,gaussian,bilateral,adaptive,dbscan,31.387,34.946,111453360
21.jpg,21,18,-3,3,18,0,0,20.437,gaussian,median,adaptive,dbscan,32.356,35.573,115364550
22.jpg,22,16,-6,6,16,0,0,20.763,gaussian,bilateral,adaptive,dbscan,32.77,35.683,117524400
23.jpg,23,13,-10,10,13,0,0,21.49,gaussian,median,adaptive,kmeans,35.263,32.0,117650115
24.jpg,24,14,-10,10,14,0,0,22.447,gaussian,median,adaptive,kmeans,35.985,30.0,120443895
25.jpg,25,14,-11,11,14,0,0,22.256,gaussian,median,adaptive,dbscan,37.018,39.341,132657375
26.jpg,26,15,-11,11,15,0,0,23.031,gaussian,median,adaptive,dbscan,38.219,40.0,136939590
27.jpg,27,16,-11,11,16,0,0,23.589,gaussian,median,adaptive,dbscan,39.323,40.972,126985665
28.jpg,28,16,-12,12,16,0,0,23.751,gaussian,median,adaptive,kmeans,40.249,39.0,129603240
29.jpg,29,17,-12,12,17,0,0,24.114,gaussian,median,adaptive,kmeans,42.57,38.0,137437860
30.jpg,30,17,-13,13,17,0,0,24.661,gaussian,median,adaptive,kmeans,43.974,41.0,137383035
31.jpg,31,24,-7,7,18,0,1,25.902,gaussian,median,adaptive,kmeans,46.449,41.0,147106695
32.jpg,32,25,-7,7,19,0,1,26.027,gaussian,median,adaptive,kmeans,47.792,40.0,144828270
33.jpg,33,29,-4,4,22,0,1,26.506,gaussian,median,adaptive,kmeans,50.064,39.0,166755975
34.jpg,34,28,-6,6,22,0,1,26.997,gaussian,median,adaptive,kmeans,51.132,45.0,168899250
35.jpg,35,29,-6,6,23,0,1,27.064,gaussian,median,adaptive,kmeans,53.161,41.0,172659480
36.jpg,36,29,-7,7,23,0,1,27.716,gaussian,median,adaptive,kmeans,54.651,42.0,181379970
37.jpg,37,30,-7,7,24,0,1,28.363,gaussian,median,adaptive,kmeans,56.359,41.0,187675665
38.jpg,38,31,-7,7,25,0,1,28.803,gaussian,median,adaptive,kmeans,58.837,36.0,193891545
39.jpg,39,33,-6,6,26,0,1,28.725,gaussian,median,adaptive,kmeans,60.072,45.0,197795085
40.jpg,40,33,-7,7,27,0,1,29.346,gaussian,median,adaptive,kmeans,62.728,43.0,205118940
41.jpg,41,34,-7,7,28,0,1,29.489,gaussian,median,adaptive,kmeans,64.1,47.0,210375765
42.jpg,42,35,-7,7,29,0,1,29.766,gaussian,median,adaptive,kmeans,63.688,40.0,212622570
43.jpg,43,36,-7,7,30,0,1,29.643,gaussian,median,adaptive,kmeans,65.679,45.0,208519365
44.jpg,44,37,-7,7,30,0,1,29.712,gaussian,median,adaptive,kmeans,65.626,47.0,211838955
45.jpg,45,38,-7,7,31,0,1,30.045,gaussian,median,adaptive,kmeans,66.411,47.0,212563410
46.jpg,46,38,-8,8,29,0,1,31.16,gaussian,median,adaptive,kmeans,68.187,46.0,197451345
47.jpg,47,36,-11,11,28,0,1,31.469,gaussian,median,adaptive,kmeans,68.847,44.0,192732825
48.jpg,48,38,-10,10,29,0,1,31.266,gaussian,median,adaptive,kmeans,70.161,42.0,200225235
49.jpg,49,38,-11,11,30,0,1,31.21,gaussian,median,adaptive,kmeans,71.031,51.0,207517980
50.jpg,50,35,-15,15,27,0,1,31.537,gaussian,median,adaptive,kmeans,72.407,54.0,196376265
51.jpg,51,39,-12,12,30,0,1,31.73,gaussian,median,adaptive,kmeans,73.893,46.0,229079760
52.jpg,52,37,-15,15,29,0,1,32.079,gaussian,median,adaptive,kmeans,74.682,44.0,205558050
53.jpg,53,23,-30,30,23,0,0,32.172,gaussian,median,adaptive,kmeans,75.478,47.0,158179305
54.jpg,54,24,-30,30,24,0,0,32.117,gaussian,median,adaptive,kmeans,77.154,48.0,163250490
55.jpg,55,22,-33,33,22,0,0,31.956,gaussian,median,adaptive,kmeans,79.13,53.0,169496970
56.jpg,56,30,-26,26,30,0,0,32.723,gaussian,median,adaptive,kmeans,79.982,53.0,212936475
57.jpg,57,29,-28,28,29,0,0,32.051,gaussian,median,adaptive,kmeans,81.488,51.0,219773025
58.jpg,58,31,-27,27,31,0,0,33.18,gaussian,median,adaptive,kmeans,82.897,56.0,219216870
59.jpg,59,31,-28,28,31,0,0,33.368,gaussian,median,adaptive,kmeans,84.471,58.0,236688450
60.jpg,60,31,-29,29,31,0,0,33.896,gaussian,median,adaptive,kmeans,85.907,61.0,232336365
61.jpg,61,35,-26,26,35,0,0,33.838,gaussian,median,adaptive,kmeans,87.152,60.0,229968690
62.jpg,62,36,-26,26,36,0,0,34.188,gaussian,median,adaptive,kmeans,90.928,60.0,241674210
63.jpg,63,36,-27,27,36,0,0,33.576,gaussian,median,adaptive,kmeans,91.188,63.0,255601800
