Image,Ground_Truth,Predicted,Error,Abs_Error,Accuracy_%,Filter,Threshold,Cluster
1.jpg,1,14,13,13,-1200.0,gaussian,otsu,kmeans
2.jpg,2,15,13,13,-550.0,gaussian,otsu,kmeans
3.jpg,3,25,22,22,-633.33,gaussian,otsu,kmeans
4.jpg,4,4,0,0,100.0,gaussian,adaptive,dbscan
5.jpg,5,22,17,17,-240.0,gaussian,adaptive,kmeans
6.jpg,6,6,0,0,100.0,gaussian,adaptive,dbscan
7.jpg,7,7,0,0,100.0,gaussian,adaptive,dbscan
8.jpg,8,8,0,0,100.0,gaussian,adaptive,dbscan
9.jpg,9,8,-1,1,88.89,gaussian,adaptive,dbscan
10.jpg,10,9,-1,1,90.0,gaussian,adaptive,dbscan
11.jpg,11,11,0,0,100.0,gaussian,adaptive,dbscan
12.jpg,12,12,0,0,100.0,gaussian,adaptive,dbscan
13.jpg,13,12,-1,1,92.31,gaussian,adaptive,dbscan
14.jpg,14,13,-1,1,92.86,gaussian,adaptive,dbscan
15.jpg,15,14,-1,1,93.33,gaussian,adaptive,dbscan
16.jpg,16,15,-1,1,93.75,gaussian,adaptive,dbscan
17.jpg,17,16,-1,1,94.12,gaussian,adaptive,dbscan
18.jpg,18,16,-2,2,88.89,gaussian,adaptive,dbscan
19.jpg,19,16,-3,3,84.21,gaussian,adaptive,dbscan
20.jpg,20,17,-3,3,85.0,gaussian,adaptive,dbscan
21.jpg,21,18,-3,3,85.71,gaussian,adaptive,dbscan
22.jpg,22,16,-6,6,72.73,gaussian,adaptive,dbscan
23.jpg,23,13,-10,10,56.52,gaussian,adaptive,kmeans
24.jpg,24,14,-10,10,58.33,gaussian,adaptive,kmeans
25.jpg,25,14,-11,11,56.0,gaussian,adaptive,dbscan
26.jpg,26,15,-11,11,57.69,gaussian,adaptive,dbscan
27.jpg,27,16,-11,11,59.26,gaussian,adaptive,dbscan
28.jpg,28,16,-12,12,57.14,gaussian,adaptive,kmeans
29.jpg,29,17,-12,12,58.62,gaussian,adaptive,kmeans
